"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
h7b1_1,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">You said you spent time in a room that you rented in an apartment or house.</span></p> <p><span style=""color: #236fa1;"">[Did you get the room through a (social service) agency?]</span></p> <p> </p> <p>What was the name of the agency?</p> <p> </p></div>",,"agency, -98 = Don't know, -99 = Refused",,,,,[h7b1]='1',,,,,,
h7b3,housing_hh2bl_housing_modified,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">(You said you spent time in a room that you rented in an apartment or house.)</span></p> <p>How much did you pay to stay there?</p> <p><span style=""color: #236fa1;"">Do not include subsidies paid to you or the landlord.</span></p> <p>(on average)</p> <p><span style=""color: #236fa1;"">${pay_num1}<span style=""color: #000000;""> </span></span><span style=""color: #236fa1;"">{pay_inc1}</span></p></div>",,,,,,,"[testgrid3(1)] = '1'",,,,,,
pay_num1,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">(How much did you pay to stay there?) AMOUNT</span></p></div>",,$,,,,,,,,,,,
pay_inc1,housing_hh2bl_housing_modified,,dropdown,"<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">(How much did you pay to stay there?) INCREMENT</span></p> <p><span style=""color: #e03e2d;"">-9, DK/R</span></p></div>","1, per day | 2, per week | 3, per month | 4, per year | -98, Don't know/Refused",,,,,,,,,,,,
h8c,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">You said you spent time in an apartment or house that you rented.</span></p> <p>Did you receive any kind of supportive services? That is, did you have a social worker, case manager, nurse, or get medical care BECAUSE you lived in that house or apartment? (Services you would not have received if you had not lived there.)</p></div>","1, Yes | 2, No, services were not available. | 3, No, services were available, but I did not get or use them. | -98, Don't know/Refused",,,,,,"[testgrid3(2)] = '1'",,,,,,
h8a1_1,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p>What was the name or address of the building?</p> <p><span style=""color: #236fa1;"">You said you spent time in an apartment or house that you rented.</span></p></div>",,"name/address, -98 = Don't know, -99 = Refused",,,,,"[testgrid3(2)] = '1'",,,,,,
h8a,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">You said you spent time in an apartment or house that you rented.</span></p> <p><span style=""color: #236fa1;""> </span></p> <p>Have any programs helped you pay to stay there with assistance such as a housing voucher?</p> <p>Don't include help from friends, family, or a church.</p> <p>Don't include help that you received one time only, like help with a single payment or for 1 month or less.</p> <p><span style=""color: #236fa1;"">A subsidy to include, for example, is where you pay one-third of your income toward rent.</span></p> <p><span style=""color: #236fa1;""> </span></p></div>","1, Yes | 2, No | -98, Don't know/Refused",,,,,,"[testgrid3(2)] = '1'",,,,,,
h8a1,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">You said you spent time in an apartment or house that you rented.</span><br /><span style=""color: #236fa1;"">[Was any of the rent subsidized (with Section 8 or another voucher program)?]</span></p> <p> </p> <p>What type of subsidy did you receive?</p> <p> </p></div>","1, I am in senior subsidized housing (Section 202 housing) | 2, I am in Section 8 housing | 3, I am in HUD-VASH housing | 4, I am not sure what kind of subsidy | -99, Refused",,,,,,"[h8a] = '1'",,,,,,
h8b,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">You said you spent time in an apartment or house that you rented.</span></p> <p> </p> <p>Was this room in public housing (through the Housing Authority)?</p></div>","1, Yes | 2, No | -98, Don't know/Refused",,,,,,"[testgrid3(2)] = '1'",,,,,,
h8b1,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">You said you spent time in an apartment or house that you rented.</span></p> <p> </p> <p>Did you get the room through a (social service) agency?</p></div>","1, Yes | 2, No | -1, Don't know/Refused",,,,,,"[testgrid3(2)] = '1'",,,,,,
h8b1_1,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p>What was the name of the agency?</p> <p><span style=""color: #236fa1;"">Did you get the room through a (social service) agency?</span></p> <p><span style=""color: #236fa1;"">You said you spent time in an apartment or house that you rented.</span></p></div>",,"agency, -98 = Don't know, -99 = Refused",,,,,"[h8b1] = '1'",,,,,,
h8b3,housing_hh2bl_housing_modified,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">You said you spent time in an apartment or house that you rented.</span></p> <p>How much did you pay to stay there?</p> <p><span style=""color: #236fa1;"">Do not include subsidies paid to you or the landlord.</span></p> <p>(on average)</p> <p> </p> <p><span style=""color: #236fa1;"">${pay_num2}<span style=""color: #000000;""> </span></span><span style=""color: #236fa1;"">{pay_inc2}</span></p></div>",,,,,,,"[testgrid3(2)] = '1'",,,,,,
pay_num2,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">(How much did you pay to stay there?) AMOUNT</span></p></div>",,$,,,,,,,,,,,
pay_inc2,housing_hh2bl_housing_modified,,dropdown,"<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">(How much did you pay to stay there?) INCREMENT</span></p> <p> </p></div>","1, per day | 2, per week | 3, per month | 4, per year | -98, Don't know/Refused",,,,,,,,,,,,
h9a,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">You said that you spent time staying with </span><span style=""color: #000000;"">family or friends for free<span style=""font-weight: normal;"">.</span></span> <span style=""font-weight: normal;"">Could you stay there for as long as you wanted?</span></p></div>","1, Yes | 2, No | -98, Don't know/Refused",,,,,,"[testgrid3(4)] = '1'",,,,,,
h10a,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">You said that you spent time</span> <span style=""color: #000000;"">staying with friends or family and paid them to stay there</span>. <span style=""font-weight: normal;"">Could you stay there as long as you wanted?</span></p></div>","1, Yes | 2, No | -98, Don't know/Refused",,,,,,"[testgrid3(5)] = '1'",,,,,,
h10b,housing_hh2bl_housing_modified,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">You said that you spent time staying with friends or family and paid them to stay there.</span></p> <p><span style=""color: #000000;"">How much did you pay to stay there?</span></p> <p><span style=""color: #236fa1;"">Do not include subsidies paid to you or the landlord.</span></p> <p><span style=""color: #000000;"">(on average)</span></p> <p><span style=""color: #236fa1;"">${pay_num3}<span style=""color: #000000;""> </span></span><span style=""color: #236fa1;"">{pay_inc3}</span></p></div>",,,,,,,"[testgrid3(5)] = '1'",,,,,,
pay_num3,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">How much did you pay to stay there? AMOUNT</span></p> <p><span style=""color: #236fa1;"">You said that you spent time staying with friends or family and paid them to stay there.</span></p></div>",,$,,,,,,,,,,,
pay_inc3,housing_hh2bl_housing_modified,,dropdown,"<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">How much did you pay to stay there?  INCREMENT</span></p> <p><span style=""color: #236fa1;"">You said that you spent time staying with friends or family and paid them to stay there.</span></p></div>","1, per day | 2, per week | 3, per month | 4, per year | -98, Don't know/Refused",,,,,,,,,,,,
h11,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p>You said that you spent time in a room, apartment, or house where you exchanged work for rent. Could you stay there as long as you wanted?</p></div>","1, Yes | 2, No | -98, Don't know/Refused",,,,,,"[testgrid3(6)] = '1'",,,,,,
h12,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p>You said that you spent time in a room, apartment, or house where you exchanged sex for rent. Could you stay there as long as you wanted?</p></div>","1, Yes | 2, No | -98, Don't know/Refused",,,,,,"[testgrid3(7)] = '1'",,,,,,
now,housing_hh2bl_housing_modified,,descriptive,"The next series of questions is about the place where you are staying now, your current housing situation. We recognize that your situation may be very unstable at this time in your life, and if there is no place that you consider yourself to be living right now, then let's talk about the place where you have spent the most nights in the last month.",,,,,,,,,,,,,
h0_now_stem,housing_hh2bl_housing_modified,,radio,"You said that last night you stayed at [stay_last_night_name].
Is that where you are staying now?","1, Yes | 2, No",,,,,,,,,,,,
stay_now_broad_v2,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p>Where are you staying now?</p></div>","1, On the streets or in a shelter/respite (including vehicular homelessness) | 2, In transitional housing for homeless adults (where you pay to rent and can live temporarily and receive services) (like The Henry Robinson) | 3, In permanent housing for formerly homeless people (""Permanent Supportive Housing"" like Shelter Plus Care, The Harrison Hotel, or UA Homes) | 4, In a motel or hotel room | 7, In an apartment, house, or mobile home that is hooked up to services at a trailer park | 8, In an institution | 9, In a ""Tiny Home"", ""Tuff Shed"", or ""Community Cabin"" | 10, I have no regular place or stay in multiple types of places regularly",,,,,,"[h0_now_stem] = '2'",,,,,,
stay_now_broad_v2_other,housing_hh2bl_housing_modified,,notes,"Please elaborate on where you are staying in general",,,,,,,"[stay_now_broad_v2] = '10'",,,,,,
stay_now_hm_v2,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p>Is where you are staying now...</p> <p> </p></div>","3, In a Residential Hotel that is not operated as Permanent Supportive Housing | 4, In a motel or hotel room (standard hotel/ motel operated by a business) | 5, Motel, hotel, or trailer paid for by the government or an organization to protect you from COVID (also called a shelter-in-place/SIP hotel or Project Roomkey) | 6, A hotel where you have your name on a lease, stay long term, and there are services available, even if you don't use them (PSH) | 7, A hotel where formerly homeless adults can stay for up to 2 years and receive services (transitional housing) | 8, Other (DO NOT USE THIS OPTION!!)",,,,,,"[stay_now_broad_v2] = '4'",,,,,,
last_night_v2,housing_hh2bl_housing_modified,,text,"Specify 'other' place ",,,,,,,"[stay_now_hm_v2] = '8'",,,,,,
stay_now_hmls_v2,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p>Is where you are staying now...</p></div>","1, On the streets, in a park, or anywhere outside. | 2, In an abandoned building, garage (not converted) or anywhere else inside not meant for people to sleep or live | 7, In a car, vehicle, or RV not hooked up to services | 3, In a homeless shelter for single adults or families | 4, In a domestic violence shelter, safe house, or emergency housing for people who are fleeing domestic violence | 5, Motel, hotel, or trailer paid for by the government or an organization to protect you from COVID (also called a shelter-in-place/SIP hotel or Project Roomkey) | 6, A respite shelter where homeless people can stay while recovering from a medical issue | -98, Don't know | -99, Refused",,,,,,"[stay_now_broad_v2] = '1'",,,,,,
safe_park_2_v2,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p>Where are you parking your vehicle?</p></div>","1, On the street | 2, Private property (including a driveway, backyard, or private parking lot) | 3, Public rest stop | 4, Safe parking site or authorized overnight parking lot for people who live in their vehicles | -98, Don't know | -99, Refused",,,,,,"[stay_now_hmls_v2] = '7'",,,,,,
stay_now_safe_park_v2,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">What type of vehicle do you stay in?</span></p></div>","1, Car | 2, Van or truck | 3, RV | 4, School bus or other converted commercial vehicle",,,,,,"[stay_now_hmls_v2] = '7'",,,,,,
stay_now_a_v2,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">How many nights in a row have you stayed in a hotel or motel room?</span></p></div>","1, 7 days or less | 2, 8 to 29 days | 3, 30 days or more | -1, Don't know/Refused",,,,,,"[stay_now_broad_v2] = '4'",,,,,,
stay_now_b_v2,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Did you have a voucher from an agency to pay for the room?</span></p></div>","1, Yes | 2, No | -1, Don't know/Refused",,,,,,"[stay_now_broad_v2] = '4'",,,,,,
stay_now_c_v2,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p>Have any programs helped you pay to stay there with assistance such as a housing voucher?</p> <p>Don't include help from friends, family, or a church.</p> <p>Don't include help that you received one time only, like help with a single payment or for 1 month or less.</p> <p><span style=""color: #236fa1;"">A subsidy to include, for example, is where you pay one-third of your income toward rent.</span></p></div>","1, Yes | 2, No | -1, Don't know/Refused",,,,,,"[stay_now_broad_v2] = '4'",,,,,,
stay_now_apt_v2,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p>Is that apartment, house, or trailer...</p></div>","1, In a room you rent in a house or apartment | 2, In an apartment or house you rent | 3, In an apartment, condo, or house that you own | 4, Stayed with family or friends for free | 5, Stayed with family or friends and paid them to stay there | 6, In a room, apartment or house where you	exchange work for rent | 7, In a room, apartment or house where you	exchanged sex for rent | 8, In a mobile home hooked up to services at an RV Park | -98, Don't know | -99, Refused",,,,,,"[stay_now_broad_v2] = '7'",,,,,,
stay_now_d_v2,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p>Was that...</p> <p><span style=""color: #236fa1;"">(institution)</span></p></div>","1, In a hospital for a medical or surgical problem | 2, In a psychiatric hospital or mental health | 3, In a nursing home | 4, In a Room and Board | 5, In a drug and/or alcohol detox program (like Cherry Hill) | 6, In a drug and/or alcohol residential treatment program | 7, In a group home, halfway house, or sober living facility for example, housing run by an agency for people who are exiting prison or substance use treatment | 10, In a respite shelter where homeless people can stay while recovering from a medical issue | 8, In City/County jail | 9, In prison | -98, Don't know | -99, Refused",,,,,,"[stay_now_broad_v2] = '8'",,,,,,
stay_now_name,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p>In order to make your next interview a little easier, what would you like to call the place that you are staying now? This can be as specific or general as you are comfortable with.</p> <p> </p> <p>Examples are: A West Oakland Shelter, City Team shelter, My apartment on Main St, 1234 Main St, My brother's house, My car, My tent, my Unit at the California Hotel, etc.</p></div>",,,,,,,"[h0_now_stem] = '2'",,,,,,
h13,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p>When did you most recently become homeless?<br /><br /><span style=""color: #236fa1;"">- Living on the streets, in a car, or an abandoned building or some other place outside or inside where people don't usually sleep, OR</span><br /><span style=""color: #236fa1;"">- Staying in a shelter, OR</span><br /><span style=""color: #236fa1;"">- You didn't have a regular place to live (where you could stay for more than 14 days without being asked to leave).</span><br /><br /><span style=""color: #e03e2d;"">ANSWER FORMAT? Type:DATETIME</span><br /><span style=""color: #e03e2d;"">-98, DK/R</span></p></div>",,Date,,,,,,,,,,,
h24,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p>Thinking back over your life, how old were you the first time you became homeless as an adult, that is after you had turned 18?</p> <p> </p> <p><span style=""color: #e03e2d;"">(IF RESPONDENT HAS BEEN CONTINUOUSLY HOMELESS SINCE AGE 18 OR BEFORE, ENTER 18).</span><br /><br /><br /></p> <p> </p></div>",,"18-99 years old, -98 = Don't know/Refused",number,-98,100,,,,,,,,
h28,housing_hh2bl_housing_modified,,descriptive,"<div class=""rich-text-field-label""><p>Overall, how long altogether have you been homeless since you turned 18?</p> <p><span style=""color: #000000;""><span style=""color: #236fa1;"">{homeless_num} <span style=""color: #e67e23;"">Inc</span></span><span style=""color: #e67e23;"">: </span><span style=""color: #236fa1;"">{homeless_inc}</span></span></p></div>",,,,,,,,,,,,,
homeless_num,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">Overall, how long altogether have you been homeless since you turned 18? NUMBER</span></p></div>",,,,,,,,,,,,,
homeless_inc,housing_hh2bl_housing_modified,,dropdown,"<div class=""rich-text-field-label""><p><span style=""color: #236fa1;""><span style=""color: #f80c8d;""><span style=""color: #236fa1;"">Overall, how long altogether have you been homeless since you turned 18?</span></span></span><span style=""color: #236fa1;""> INCREMENT</span></p></div>","1, Day(s) | 2, Week(s) | 3, Year(s) | -98, Don't know/Refused",,,,,,,,,,,,
h17,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p>When was the last time you had stable housing for at least 12 months?<br />That is either a house or an apartment where you had a lease, a house or apartment that you owned, or a hotel room where you had tenancy rights, or an arrangement that you could stay in a place without being asked to leave?</p> <p><span style=""color: #e03e2d;"">-98, Never had stable housing (-98)</span><br /><span style=""color: #e03e2d;"">-99, DK/refused</span></p> <p> </p></div>",,DATETIME,,,,,,,,,,,
h29,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p>Did you ever experience homelessness while growing up, before the age of 18?</p> <p><br /><span style=""color: #236fa1;"">Homelessness meaning staying on the streets or in shelters or not having a stable place to live where you can stay for at least 2 weeks without being asked to leave.</span></p></div>","1, Yes | 2, No | -1, Don't know/Refused",,,,,,,,,,,,
unused_voucher,housing_hh2bl_housing_modified,,radio,"In the last 6 months, was there any time when you had a housing voucher, but were unable to use it?","1, Yes | 2, No | -98, Don't know",,,,,,,,,,,,
unused_voucher_type,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p>What type of housing voucher did you have?<br /><br /></p></div>","1, Section 8- Housing Choice Voucher | 2, HUD-VASH | 4, Emergency housing voucher- use in public housing and was made to address the impact of covid-19 | 3, other {unused_voucher_type_other}",,,,,,"[unused_voucher] = '1'",,,,,,
unused_voucher_type_other,housing_hh2bl_housing_modified,,text,"Specify other voucher",,,,,,,,,,,,,
unused_voucher_time,housing_hh2bl_housing_modified,,descriptive,"How long did you hold the voucher while being unable to use it toward housing?

{unused_voucher_length}
{unused_voucher_incr}",,,,,,,"[unused_voucher] = '1'",,,,,,
unused_voucher_length,housing_hh2bl_housing_modified,,text,"How long did you hold the voucher while being unable to use it toward housing?",,,,,,,,,,,,,
unused_voucher_incr,housing_hh2bl_housing_modified,,dropdown,"<div class=""rich-text-field-label""><p>How long did you have the voucher while being unable to use it?<br /><span style=""color: #236fa1;"">Increment</span></p></div>","1, Days | 2, Weeks, | 3, Month",,,,,,,,,,,,
traj_prompt,housing_trajectory,,descriptive,"<div class=""rich-text-field-label""><p>Thinking about the last 6 months, we are now going to talk about the order of the places that you've stayed housed and unhoused. We are going to talk about these situations broadly. Please only include places, or living situations<span style=""color: #000000;""> that you have stayed in for 2 weeks or longer.</span></p></div>",,,,,,,,,,,,,
stay_type_1st,housing_trajectory,,dropdown,"<div class=""rich-text-field-label""><p>Thinking about where you were FIRST staying 6 months ago, [since name of month], what type of place was that?</p></div>","1, Housed | 2, Homeless | 6, Stay with friends or family long-term | 5, Staying with family short term (couch surfing) | 7, An institution | 4, End(now)",,,,,,,,,,,,
stay_type_1st_sub,housing_trajectory,,dropdown,"<div class=""rich-text-field-label""><p>Was the housing subsidized in any way?</p></div>","1, yes | 2, no | -98, don't know",,,,,,"[stay_type_1st] = '1'",,,,,,
stay_type_2nd,housing_trajectory,,dropdown,"Where did you stay after that?","1, Housed | 2, Homeless | 6, Stay with friends or family long-term | 5, Staying with family short term (couch surfing) | 7, An institution | 4, End(now)",,,,,,"[stay_type_1st] = '1' or [stay_type_1st] = '2' or [stay_type_1st] = '6' or [stay_type_1st] = '5' or [stay_type_1st] = '7'",,,,,,
stay_type_2nd_sub,housing_trajectory,,dropdown,"<div class=""rich-text-field-label""><p>Was the housing subsidized in any way?</p></div>","1, yes | 2, no | -98, don't know",,,,,,"[stay_type_2nd] = '1'",,,,,,
stay_type_3rd,housing_trajectory,,dropdown,"Where did you stay after that?","1, Housed | 2, Homeless | 6, Stay with friends or family long-term | 5, Staying with family short term (couch surfing) | 7, An institution | 4, End(now)",,,,,,"[stay_type_2nd] = '1' or [stay_type_2nd] = '2' or [stay_type_2nd] = '6' or [stay_type_2nd] = '5' or [stay_type_2nd] = '7'",,,,,,
stay_type_3rd_sub,housing_trajectory,,dropdown,"<div class=""rich-text-field-label""><p>Was the housing subsidized in any way?</p></div>","1, yes | 2, no | -98, don't know",,,,,,"[stay_type_3rd] = '1'",,,,,,
stay_type_4th,housing_trajectory,,dropdown,"Where did you stay after that?","1, Housed | 2, Homeless | 6, Stay with friends or family long-term | 5, Staying with family short term (couch surfing) | 7, An institution | 4, End(now)",,,,,,"[stay_type_3rd] = '1' or [stay_type_3rd] = '2' or [stay_type_3rd] = '6' or [stay_type_3rd] = '5' or [stay_type_3rd] = '7'",,,,,,
stay_type_4th_sub,housing_trajectory,,dropdown,"<div class=""rich-text-field-label""><p>Was the housing subsidized in any way?</p></div>","1, yes | 2, no | -98, don't know",,,,,,"[stay_type_4th] = '1'",,,,,,
stay_type_5th,housing_trajectory,,dropdown,"Where did you stay after that?","1, Housed | 2, Homeless | 6, Stay with friends or family long-term | 5, Staying with family short term (couch surfing) | 7, An institution | 4, End(now)",,,,,,"[stay_type_4th] = '1' or [stay_type_4th] = '2' or [stay_type_4th] = '6' or [stay_type_4th] = '5' or [stay_type_4th] = '7'",,,,,,
stay_type_5th_sub,housing_trajectory,,dropdown,"<div class=""rich-text-field-label""><p>Was the housing subsidized in any way?</p></div>","1, yes | 2, no | -98, don't know",,,,,,"[stay_type_5th] = '1'",,,,,,
stay_type_6th,housing_trajectory,,dropdown,"Where did you stay after that?","1, Housed | 2, Homeless | 6, Stay with friends or family long-term | 5, Staying with family short term (couch surfing) | 7, An institution | 4, End(now)",,,,,,"[stay_type_5th] = '1' or [stay_type_5th] = '2' or [stay_type_5th] = '6' or [stay_type_5th] = '5' or [stay_type_5th] = '7'",,,,,,
stay_type_6th_sub,housing_trajectory,,dropdown,"<div class=""rich-text-field-label""><p>Was the housing subsidized in any way?</p></div>","1, yes | 2, no | -98, don't know",,,,,,"[stay_type_6th] = '1'",,,,,,
stay_type_7th,housing_trajectory,,dropdown,"Where did you stay after that?","1, Housed | 2, Homeless | 6, Stay with friends or family long-term | 5, Staying with family short term (couch surfing) | 7, An institution | 4, End(now)",,,,,,"[stay_type_6th] = '1' or [stay_type_6th] = '2' or [stay_type_6th] = '6' or [stay_type_6th] = '5' or [stay_type_6th] = '7'",,,,,,
stay_type_7th_sub,housing_trajectory,,dropdown,"<div class=""rich-text-field-label""><p>Was the housing subsidized in any way?</p></div>","1, yes | 2, no | -98, don't know",,,,,,"[stay_type_7th] = '1'",,,,,,
stay_type_8th,housing_trajectory,,dropdown,"Where did you stay after that?","1, Housed | 2, Homeless | 6, Stay with friends or family long-term | 5, Staying with family short term (couch surfing) | 7, An institution | 4, End(now)",,,,,,"[stay_type_7th] = '1' or [stay_type_7th] = '2' or [stay_type_7th] = '6' or [stay_type_7th] = '5' or [stay_type_7th] = '7'",,,,,,
stay_type_8th_sub,housing_trajectory,,dropdown,"<div class=""rich-text-field-label""><p>Was the housing subsidized in any way?</p></div>","1, yes | 2, no | -98, don't know",,,,,,"[stay_type_8th] = '1'",,,,,,
stay_type_9th,housing_trajectory,,dropdown,"Where did you stay after that?","1, Housed | 2, Homeless | 6, Stay with friends or family long-term | 5, Staying with family short term (couch surfing) | 7, An institution | 4, End(now)",,,,,,"[stay_type_8th] = '1' or [stay_type_8th] = '2' or [stay_type_8th] = '6' or [stay_type_8th] = '5' or [stay_type_8th] = '7'",,,,,,
stay_type_9th_sub,housing_trajectory,,dropdown,"<div class=""rich-text-field-label""><p>Was the housing subsidized in any way?</p></div>","1, yes | 2, no | -98, don't know",,,,,,"[stay_type_9th] = '1'",,,,,,
stay_type_10th,housing_trajectory,,dropdown,"Where did you stay after that?","1, Housed | 2, Homeless | 6, Stay with friends or family long-term | 5, Staying with family short term (couch surfing) | 7, An institution | 4, End(now)",,,,,,"[stay_type_9th] = '1' or [stay_type_9th] = '2' or [stay_type_9th] = '6' or [stay_type_9th] = '5' or [stay_type_9th] = '7'",,,,,,
stay_type_10th_sub,housing_trajectory,,dropdown,"<div class=""rich-text-field-label""><p>Was the housing subsidized in any way?</p></div>","1, yes | 2, no | -98, don't know",,,,,,"[stay_type_10th] = '1'",,,,,,
stay_type_11th,housing_trajectory,,dropdown,"Where did you stay after that?","1, Housed | 2, Homeless | 6, Stay with friends or family long-term | 5, Staying with family short term (couch surfing) | 7, An institution | 4, End(now)",,,,,,"[stay_type_10th] = '1' or [stay_type_10th] = '2' or [stay_type_10th] = '6' or [stay_type_10th] = '5' or [stay_type_10th] = '7'",,,,,,
stay_type_11th_sub,housing_trajectory,,dropdown,"<div class=""rich-text-field-label""><p>Was the housing subsidized in any way?</p></div>","1, yes | 2, no | -98, don't know",,,,,,"[stay_type_11th] = '1'",,,,,,
stay_type_12th,housing_trajectory,,dropdown,"Where did you stay after that?","1, Housed | 2, Homeless | 6, Stay with friends or family long-term | 5, Staying with family short term (couch surfing) | 7, An institution | 4, End(now)",,,,,,"[stay_type_11th] = '1' or [stay_type_11th] = '2' or [stay_type_11th] = '6' or [stay_type_11th] = '5' or [stay_type_11th] = '7'",,,,,,
stay_type_12th_sub,housing_trajectory,,dropdown,"<div class=""rich-text-field-label""><p>Was the housing subsidized in any way?</p></div>","1, yes | 2, no | -98, don't know",,,,,,"[stay_type_12th] = '1'",,,,,,
stay_type_13th,housing_trajectory,,dropdown,"Where did you stay after that?","1, Housed | 2, Homeless | 6, Stay with friends or family long-term | 5, Staying with family short term (couch surfing) | 7, An institution | 4, End(now)",,,,,,"[stay_type_12th] = '1' or [stay_type_12th] = '2' or [stay_type_12th] = '6' or [stay_type_12th] = '5' or [stay_type_12th] = '7'",,,,,,
stay_type_13th_sub,housing_trajectory,,dropdown,"<div class=""rich-text-field-label""><p>Was the housing subsidized in any way?</p></div>","1, yes | 2, no | -98, don't know",,,,,,"[stay_type_13th] = '1'",,,,,,
e1,education_hh2bl_education_54,"The next few questions are about your education and about employment. ",dropdown,"<div class=""rich-text-field-label""><p>How many years of school did you complete?</p></div>","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17-20 | 18, 21-25 | 19, More than 25 | -98, Don't know | -99, Refused","0-25 years, ",,,,,,,,,,,
e1a,education_hh2bl_education_54,,radio,"<div class=""rich-text-field-label""><p>Did you graduate from high school (receive a diploma)?</p></div>","1, Yes | 2, No | -98, Don't know/Refused",,,,,,,,,,,,
e1b,education_hh2bl_education_54,,radio,"Did you get your GED?

","1, Yes | 2, No | -98, Don't know | -99, Refused",,,,,,"[e1a] = '2' or [e1a] = '-98'",,,,,,
e1c,education_hh2bl_education_54,,radio,"Did you go to college or vocational school?","1, Yes | 2, No | -98, Don't know | -99, Refused",,,,,,,,,,,,
e1e,education_hh2bl_education_54,,radio,"<div class=""rich-text-field-label""><p>Did you graduate from college or vocational school?</p></div>","1, Yes | 2, No | -98, Don't know | -99, Refused",,,,,,"[e1c] = '1'",,,,,,
e1f,education_hh2bl_education_54,,checkbox,"<div class=""rich-text-field-label""><p>What degree or degrees have you received?</p> <p><span style=""color: #e03e2d;"">Select all that apply...</span></p> <p> </p> <p> </p></div>","1, Vocational certificate | 2, Associate of Art (AA) degree | 3, Bachelor of Science (BS) or Bachelor of Arts (BA) | 4, Graduate or Professional degree | -98, Don't know | -99, Refused",,,,,,"[e1e] = '1'",,,,,,
